check_id,tenant_id,check_date,check_name,category,status,affected_users,severity,resolved,notes
PC-001,T-001,2026-01-05,MFA Enforcement,Identity,fail,62,critical,false,MFA not enforced for 62 users in legacy AD sync group
PC-002,T-001,2026-01-05,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to reject
PC-003,T-001,2026-01-05,External Forwarding Rules,Email Security,pass,0,high,true,No active external forwarding rules detected
PC-004,T-001,2026-01-05,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-005,T-001,2026-01-05,Legacy Auth Protocols,Identity,pass,0,high,true,Basic auth disabled across tenant
PC-006,T-001,2026-01-05,Guest Access Policy,Collaboration,fail,0,medium,false,Guest access policy misconfigured; overly permissive sharing detected
PC-007,T-001,2026-01-05,Email Encryption,Email Security,pass,0,medium,true,TLS 1.2+ enforced for all mail flow
PC-008,T-002,2026-01-05,MFA Enforcement,Identity,pass,0,critical,true,MFA enforced via Google Workspace policies
PC-009,T-002,2026-01-05,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to quarantine
PC-010,T-002,2026-01-05,External Forwarding Rules,Email Security,fail,4,high,false,4 users with active external forwarding to personal accounts
PC-011,T-002,2026-01-05,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-012,T-002,2026-01-05,Legacy Auth Protocols,Identity,fail,8,high,false,Legacy IMAP access enabled for 8 shared mailboxes
PC-013,T-002,2026-01-05,Guest Access Policy,Collaboration,fail,0,medium,false,Guest sharing not restricted by domain
PC-014,T-001,2026-01-12,MFA Enforcement,Identity,fail,58,critical,false,MFA not enforced for 58 users in legacy AD sync group
PC-015,T-001,2026-01-12,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to reject
PC-016,T-001,2026-01-12,External Forwarding Rules,Email Security,pass,0,high,true,No active external forwarding rules detected
PC-017,T-001,2026-01-12,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-018,T-001,2026-01-12,Legacy Auth Protocols,Identity,pass,0,high,true,Basic auth disabled across tenant
PC-019,T-001,2026-01-12,Guest Access Policy,Collaboration,fail,0,medium,false,Guest access policy misconfigured; overly permissive sharing detected
PC-020,T-001,2026-01-12,Email Encryption,Email Security,pass,0,medium,true,TLS 1.2+ enforced for all mail flow
PC-021,T-002,2026-01-12,MFA Enforcement,Identity,pass,0,critical,true,MFA enforced via Google Workspace policies
PC-022,T-002,2026-01-12,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to quarantine
PC-023,T-002,2026-01-12,External Forwarding Rules,Email Security,fail,3,high,false,3 users with active external forwarding to personal accounts
PC-024,T-002,2026-01-12,Legacy Auth Protocols,Identity,fail,6,high,false,Legacy IMAP access enabled for 6 shared mailboxes
PC-025,T-002,2026-01-12,Guest Access Policy,Collaboration,fail,0,medium,false,Guest sharing not restricted by domain
PC-026,T-001,2026-01-19,MFA Enforcement,Identity,fail,65,critical,false,MFA not enforced for 65 users in legacy AD sync group
PC-027,T-001,2026-01-19,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to reject
PC-028,T-001,2026-01-19,External Forwarding Rules,Email Security,pass,0,high,true,No active external forwarding rules detected
PC-029,T-001,2026-01-19,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-030,T-001,2026-01-19,Legacy Auth Protocols,Identity,pass,0,high,true,Basic auth disabled across tenant
PC-031,T-001,2026-01-19,Guest Access Policy,Collaboration,fail,0,medium,false,Guest access policy misconfigured; overly permissive sharing detected
PC-032,T-001,2026-01-19,Email Encryption,Email Security,pass,0,medium,true,TLS 1.2+ enforced for all mail flow
PC-033,T-002,2026-01-19,MFA Enforcement,Identity,pass,0,critical,true,MFA enforced via Google Workspace policies
PC-034,T-002,2026-01-19,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to quarantine
PC-035,T-002,2026-01-19,External Forwarding Rules,Email Security,fail,3,high,false,3 users with active external forwarding to personal accounts
PC-036,T-002,2026-01-19,Legacy Auth Protocols,Identity,fail,5,high,false,Legacy IMAP access enabled for 5 shared mailboxes
PC-037,T-002,2026-01-19,Guest Access Policy,Collaboration,fail,0,medium,false,Guest sharing not restricted by domain
PC-038,T-001,2026-01-26,MFA Enforcement,Identity,fail,70,critical,false,MFA not enforced for 70 users in legacy AD sync group
PC-039,T-001,2026-01-26,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to reject
PC-040,T-001,2026-01-26,External Forwarding Rules,Email Security,pass,0,high,true,No active external forwarding rules detected
PC-041,T-001,2026-01-26,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-042,T-001,2026-01-26,Legacy Auth Protocols,Identity,pass,0,high,true,Basic auth disabled across tenant
PC-043,T-001,2026-01-26,Guest Access Policy,Collaboration,fail,0,medium,false,Guest access policy misconfigured; overly permissive sharing detected
PC-044,T-001,2026-01-26,Email Encryption,Email Security,pass,0,medium,true,TLS 1.2+ enforced for all mail flow
PC-045,T-002,2026-01-26,MFA Enforcement,Identity,pass,0,critical,true,MFA enforced via Google Workspace policies
PC-046,T-002,2026-01-26,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to quarantine
PC-047,T-002,2026-01-26,External Forwarding Rules,Email Security,fail,2,high,false,2 users with active external forwarding to personal accounts
PC-048,T-002,2026-01-26,Legacy Auth Protocols,Identity,fail,4,high,false,Legacy IMAP access enabled for 4 shared mailboxes
PC-049,T-002,2026-01-26,Guest Access Policy,Collaboration,pass,0,medium,true,Guest sharing now restricted to approved domains
PC-050,T-001,2026-02-02,MFA Enforcement,Identity,fail,64,critical,false,MFA not enforced for 64 users in legacy AD sync group
PC-051,T-001,2026-02-02,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to reject
PC-052,T-001,2026-02-02,External Forwarding Rules,Email Security,pass,0,high,true,No active external forwarding rules detected
PC-053,T-001,2026-02-02,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-054,T-001,2026-02-02,Legacy Auth Protocols,Identity,pass,0,high,true,Basic auth disabled across tenant
PC-055,T-001,2026-02-02,Guest Access Policy,Collaboration,fail,0,medium,false,Guest access policy misconfigured; overly permissive sharing detected
PC-056,T-001,2026-02-02,Email Encryption,Email Security,pass,0,medium,true,TLS 1.2+ enforced for all mail flow
PC-057,T-002,2026-02-02,MFA Enforcement,Identity,fail,12,critical,false,MFA policy not applied to 12 recently provisioned contractor accounts
PC-058,T-002,2026-02-02,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to quarantine
PC-059,T-002,2026-02-02,External Forwarding Rules,Email Security,fail,2,high,false,2 users with active external forwarding to personal accounts
PC-060,T-002,2026-02-02,Legacy Auth Protocols,Identity,fail,4,high,false,Legacy IMAP access enabled for 4 shared mailboxes
PC-061,T-002,2026-02-02,Guest Access Policy,Collaboration,pass,0,medium,true,Guest sharing restricted to approved domains
PC-062,T-001,2026-02-09,MFA Enforcement,Identity,fail,61,critical,false,MFA not enforced for 61 users in legacy AD sync group
PC-063,T-001,2026-02-09,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to reject
PC-064,T-001,2026-02-09,External Forwarding Rules,Email Security,pass,0,high,true,No active external forwarding rules detected
PC-065,T-001,2026-02-09,Admin MFA,Identity,pass,0,critical,true,All admin accounts have MFA enforced
PC-066,T-001,2026-02-09,Legacy Auth Protocols,Identity,pass,0,high,true,Basic auth disabled across tenant
PC-067,T-001,2026-02-09,Guest Access Policy,Collaboration,pass,0,medium,true,Guest access restricted to approved domains
PC-068,T-001,2026-02-09,Email Encryption,Email Security,pass,0,medium,true,TLS 1.2+ enforced for all mail flow
PC-069,T-002,2026-02-09,MFA Enforcement,Identity,fail,10,critical,false,MFA policy not applied to 10 recently provisioned contractor accounts
PC-070,T-002,2026-02-09,DMARC Policy,Email Security,pass,0,medium,true,DMARC set to quarantine
PC-071,T-002,2026-02-09,External Forwarding Rules,Email Security,pass,0,high,true,External forwarding rules cleared
PC-072,T-002,2026-02-09,Legacy Auth Protocols,Identity,fail,3,high,false,Legacy IMAP access enabled for 3 shared mailboxes
PC-073,T-002,2026-02-09,Guest Access Policy,Collaboration,pass,0,medium,true,Guest sharing restricted
